# Jmax  =         2048
# Nmax  =          100
# N1max =           50
# L     =    0.40000000E+001
# sig   =    0.10000000E+000
# k0    =    0.20000000E+002
# x0    =   -0.50000000E+000
# dt    =    0.10000000E-004
#
# x              r(j)               real              aimag
  -0.30234375E+001   0.21245257E-137  -0.10377571E-068   0.10235164E-068
  -0.30195312E+001   0.56888232E-137  -0.18236842E-068   0.15372050E-068
  -0.30156250E+001   0.15209684E-136  -0.31690102E-068   0.22731166E-068
  -0.30117188E+001   0.40602735E-136  -0.54518174E-068   0.32985485E-068
  -0.30078125E+001   0.10822503E-135  -0.92939172E-068   0.46741982E-068
  -0.30039062E+001   0.28802980E-135  -0.15710782E-067   0.64188107E-068
  -0.30000000E+001   0.76539297E-135  -0.26349207E-067   0.84328103E-068
  -0.29960938E+001   0.20308079E-134  -0.43861130E-067   0.10344521E-067
  -0.29921875E+001   0.53801021E-134  -0.72486856E-067   0.11214181E-067
  -0.29882812E+001   0.14231462E-133  -0.11895706E-066   0.89821615E-068
  -0.29843750E+001   0.37587708E-133  -0.19387476E-066  -0.53517677E-069
  -0.29804688E+001   0.99124152E-133  -0.31381053E-066  -0.25438196E-067
  -0.29765625E+001   0.26100597E-132  -0.50444232E-066  -0.80894523E-067
  -0.29726562E+001   0.68621266E-132  -0.80519726E-066  -0.19460224E-066
  -0.29687500E+001   0.18013758E-131  -0.12760063E-065  -0.41615355E-066
  -0.29648438E+001   0.47215788E-131  -0.20069446E-065  -0.83291790E-066
  -0.29609375E+001   0.12356842E-130  -0.31316594E-065  -0.15967314E-065
  -0.29570312E+001   0.32289776E-130  -0.48454759E-065  -0.29683564E-065
  -0.29531250E+001   0.84248061E-130  -0.74287134E-065  -0.53909441E-065
  -0.29492188E+001   0.21947856E-129  -0.11274625E-064  -0.96104839E-065
  -0.29453125E+001   0.57090208E-129  -0.16918726E-064  -0.16871834E-064
  -0.29414062E+001   0.14827518E-128  -0.25060721E-064  -0.29235459E-064
  -0.29375000E+001   0.38451440E-128  -0.36559257E-064  -0.50085575E-064
  -0.29335938E+001   0.99562108E-128  -0.52359091E-064  -0.84939604E-064
  -0.29296875E+001   0.25740257E-127  -0.73272428E-064  -0.14272844E-063
  -0.29257812E+001   0.66446022E-127  -0.99468630E-064  -0.23780667E-063
  -0.29218750E+001   0.17126255E-126  -0.12940804E-063  -0.39308537E-063
  -0.29179688E+001   0.44075085E-126  -0.15775111E-063  -0.64487630E-063
  -0.29140625E+001   0.11325600E-125  -0.17142536E-063  -0.10503206E-062
  -0.29101562E+001   0.29058060E-125  -0.14244564E-063  -0.16986804E-062
